y,x,phi
0,0,2821.2135122089717
0,20,2829.426863401415
0,40,2841.8904219944693
0,60,2816.1479884212204
0,80,2826.4624407806073
0,100,2830.3640033062575
0,120,2850.6619137954576
20,0,2819.695644057828
20,20,2805.441334420477
20,40,2813.457926268245
20,60,2816.2993058901748
20,80,2819.4782317623076
20,100,2820.1987163924136
20,120,2821.5964391236107
40,0,2821.713313658019
40,20,2814.8823425208516
40,40,2822.386257917624
40,60,2828.3243802101497
40,80,2814.7145912004007
40,100,2818.4256249767013
40,120,2818.091322759771
60,0,2811.933456268081
60,20,2827.8423310681205
60,40,2813.5795842310454
60,60,2810.113823723437
60,80,2813.6775569596903
60,100,2818.7693719143335
60,120,2822.8035040037903
80,0,2835.7240470777806
80,20,2819.7616764735812
80,40,2815.6304647628344
80,60,2820.3916894444337
80,80,2818.328469180921
80,100,2814.73550242698
80,120,2816.8644112528314
100,0,2829.76737509305
100,20,2799.34302676334
100,40,2819.6478176833007
100,60,2819.1641057569486
100,80,2818.95206851353
100,100,2809.565787913709
100,120,2808.1129268862323
120,0,2802.0944529493113
120,20,2815.243535471384
120,40,2822.2141129013794
120,60,2819.7428133817293
120,80,2821.6775790577003
120,100,2817.189271062673
120,120,2818.864187376778
